"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.375377458E0,1.080474854E-1,1.243941498E1,-5.068890381E1,5.219306169E1
2.385413458E0,-7.783317566E-2,1.226174927E1,-5.098664856E1,5.244039363E1
2.395448458E0,-1.273193359E-1,1.220965576E1,-5.102482605E1,5.246546271E1
2.405483458E0,9.871482849E-2,1.211429596E1,-5.076580811E1,5.219131330E1
2.415519458E0,1.945877075E-2,1.199040985E1,-5.083798218E1,5.223285115E1
2.425554458E0,1.261253357E-1,1.204998016E1,-5.079234314E1,5.220229929E1
2.435590458E0,-4.056167603E-2,1.206935883E1,-5.081268311E1,5.222642848E1
2.445625458E0,-5.919456482E-2,1.209545898E1,-5.101422119E1,5.242856469E1
2.455661458E0,-1.659946442E-1,1.221502686E1,-5.086227417E1,5.230875041E1
2.465696458E0,-1.528358459E-1,1.256030273E1,-5.050035095E1,5.203912000E1
2.475732458E0,-2.348365784E-1,1.242382812E1,-5.062805176E1,5.213066543E1
2.485767458E0,-1.706390381E-1,1.244122314E1,-5.069160461E1,5.219628272E1
2.495802458E0,-2.123088837E-1,1.237455750E1,-5.101692200E1,5.249667683E1
2.505838458E0,-5.726242065E-2,1.257136536E1,-5.109037781E1,5.261434415E1
2.515873458E0,-7.503890991E-2,1.251423645E1,-5.088644409E1,5.240269017E1
2.525909458E0,-1.845645905E-1,1.225372314E1,-5.087084961E1,5.232619932E1
2.535944458E0,-1.838836670E-1,1.229344940E1,-5.059046936E1,5.206302240E1
2.545980458E0,-1.052474976E-1,1.226654053E1,-5.064311218E1,5.210761849E1
2.556015458E0,-1.336269379E-1,1.208451080E1,-5.081086731E1,5.222832081E1
2.566050458E0,-3.837203979E-2,1.205490875E1,-5.052758789E1,5.194573549E1
2.576086458E0,-4.439182281E-1,1.195117188E1,-5.077471924E1,5.216416094E1
2.586121458E0,-3.954582214E-1,1.184346771E1,-5.087794495E1,5.223973006E1
2.596157458E0,-2.702579498E-1,1.204673767E1,-5.063143921E1,5.204555278E1
2.606192458E0,-2.674694061E-1,1.231499481E1,-5.058192444E1,5.206017400E1
2.616228458E0,-3.429241180E-1,1.242256927E1,-5.055128479E1,5.205641381E1
2.626262458E0,-1.422481537E-1,1.237578583E1,-5.064543152E1,5.213578467E1
2.636298458E0,-2.468109131E-1,1.222422028E1,-5.067221069E1,5.212643680E1
