"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.766158000E0,-4.955068588E0,2.269702911E1,-3.967170715E1,4.597338560E1
1.776194000E0,-5.041589737E0,2.271781158E1,-3.941348267E1,4.577050585E1
1.786231000E0,-4.990304947E0,2.278681946E1,-3.936973572E1,4.576153816E1
1.796267000E0,-5.082590103E0,2.289504242E1,-3.943345642E1,4.588042257E1
1.806303000E0,-5.226354599E0,2.273816681E1,-3.956164551E1,4.592888859E1
1.816340000E0,-5.322561264E0,2.268325043E1,-3.993273926E1,4.623292304E1
1.826376000E0,-5.190885544E0,2.264162445E1,-3.976066589E1,4.604887624E1
1.836413000E0,-5.263418198E0,2.265055084E1,-3.924067688E1,4.561339438E1
1.846449000E0,-5.586412430E0,2.250088501E1,-3.952296448E1,4.582098374E1
1.856485000E0,-5.302778244E0,2.236416626E1,-3.940312195E1,4.561667906E1
1.866522000E0,-5.207609177E0,2.263800812E1,-4.003187561E1,4.628336277E1
1.876558000E0,-5.232843399E0,2.256246185E1,-3.954673767E1,4.583003159E1
1.886594000E0,-5.253847122E0,2.244096375E1,-3.944256592E1,4.568277323E1
1.896631000E0,-5.012533188E0,2.237978363E1,-3.949365234E1,4.566977972E1
1.906667000E0,-5.075925827E0,2.251480103E1,-3.975662231E1,4.597031984E1
1.916704000E0,-5.060258865E0,2.257778168E1,-3.963092041E1,4.589087380E1
1.926740000E0,-5.006402969E0,2.265858459E1,-3.936798096E1,4.569806835E1
1.936776000E0,-5.103010178E0,2.239762115E1,-3.962054443E1,4.579827166E1
1.946813000E0,-5.097288132E0,2.217754364E1,-3.946022034E1,4.555145198E1
1.956849000E0,-5.169973373E0,2.250266266E1,-3.936622620E1,4.563768417E1
1.966886000E0,-5.125371933E0,2.242932129E1,-3.965260315E1,4.584400536E1
1.976922000E0,-5.134717941E0,2.251169586E1,-3.971983337E1,4.594351904E1
1.986958000E0,-4.912694931E0,2.259873962E1,-3.988703918E1,4.610654508E1
1.996995000E0,-4.847978592E0,2.255813599E1,-3.960224915E1,4.583350884E1
2.007031000E0,-4.940595627E0,2.245535278E1,-3.930406189E1,4.553527901E1
2.017068000E0,-5.272188187E0,2.248907471E1,-3.953684998E1,4.578992199E1
2.027104000E0,-5.214929581E0,2.235980988E1,-3.944679260E1,4.564215195E1
2.037140000E0,-5.070749283E0,2.277397156E1,-3.928460693E1,4.569077172E1
2.047177000E0,-5.195924759E0,2.270075989E1,-3.931362915E1,4.569336462E1
2.057213000E0,-5.203680038E0,2.296250916E1,-3.977223206E1,4.621888743E1
2.067249000E0,-5.535310745E0,2.257053375E1,-3.961187744E1,4.592569535E1
2.077286000E0,-5.502012253E0,2.259938812E1,-3.941534424E1,4.576651444E1
2.087322000E0,-5.548261642E0,2.263997650E1,-3.879719543E1,4.526117671E1
2.097359000E0,-5.317125320E0,2.272702789E1,-3.890161133E1,4.536656238E1
2.107395000E0,-5.280408859E0,2.264694977E1,-3.873712158E1,4.518109826E1
2.117431000E0,-5.206964493E0,2.272225952E1,-3.900633240E1,4.544125355E1
2.127468000E0,-5.333250046E0,2.277003479E1,-3.909901428E1,4.555931253E1
2.137504000E0,-5.298948288E0,2.261666107E1,-3.911933899E1,4.549631737E1
2.147541000E0,-5.210222244E0,2.262077332E1,-3.923817444E1,4.559035133E1
2.157577000E0,-5.281423569E0,2.268780518E1,-3.914207458E1,4.554922548E1
2.167613000E0,-4.999650955E0,2.278926086E1,-3.932638550E1,4.572648594E1
2.177650000E0,-5.154870987E0,2.264813232E1,-3.948352051E1,4.580894000E1
2.187686000E0,-5.202772141E0,2.274179840E1,-3.958889771E1,4.595148587E1
2.197722000E0,-5.265787125E0,2.280707550E1,-3.918145752E1,4.564074737E1
2.207759000E0,-4.981523514E0,2.281006622E1,-3.912754822E1,4.556401790E1
2.217795583E0,-5.114004135E0,2.267384338E1,-3.885136414E1,4.527344373E1
2.227832583E0,-5.144124985E0,2.287821960E1,-3.932878113E1,4.578895040E1
2.237868583E0,-5.228593826E0,2.268354034E1,-3.908850098E1,4.549496790E1
2.247904583E0,-5.129796982E0,2.268991852E1,-3.899844360E1,4.540953449E1
2.257941583E0,-5.147069931E0,2.260385895E1,-3.897686768E1,4.535000531E1
2.267977583E0,-5.313737869E0,2.270593262E1,-3.889282227E1,4.534806291E1
2.278014583E0,-5.241544724E0,2.264683533E1,-3.907191467E1,4.546391380E1
2.288050583E0,-5.252676010E0,2.272439575E1,-3.941477966E1,4.579862032E1
2.298086583E0,-5.174291611E0,2.261958313E1,-3.954724121E1,4.585196966E1
2.308123583E0,-5.260824203E0,2.258697510E1,-3.912690735E1,4.548365194E1
2.318159583E0,-5.310941696E0,2.281166077E1,-3.920286560E1,4.566664691E1
2.328196583E0,-5.329912186E0,2.263135529E1,-3.900773621E1,4.541133878E1
2.338232583E0,-5.387552261E0,2.256803131E1,-3.922749329E1,4.557562930E1
2.348268583E0,-5.015394211E0,2.236948395E1,-3.904624939E1,4.527866587E1
